username,rating,comment,sp
tuanloantyl,5,"Shop phục vụ tốt giao hàng nhanh
Shop phục vụ tốt giao hành nhanh",[HN] Bánh Quy Oreo Phủ Sôcôla Sữa 150g
p*****.,5,"Mik chưa thử, nhưng chắc nó sẽ ngon:)))))))))))))))))))))",[HN] Bánh Quy Oreo Phủ Sôcôla Sữa 150g
minhducdo2005,5,Okkkkkkkkkkkjkkjkkkkkkkkjjjjjjjjjjjjkkkkjkjjjjjkjjjj,[HN] Bánh Quy Oreo Phủ Sôcôla Sữa 150g
minhthuanpham,5,"Bánh ngon, giao hàng nhanh. Đóng gói đẹp mắt. Rất đáng tiền. ",[HN] Bánh Quy Oreo Phủ Sôcôla Sữa 150g
t*****0,5,"Chất lượng sản phẩm tuyệt vời, đóng gói cẩn thận, cảm ưn shop nhìu nghen ",[HN] Hộp 10 gói x 20g NESCAFE Cà Phê Sô Cô La
huyenanh02.,5,"Đã nhận đc hàng 
Chia sẻ để bạn bè phụ tưới cây nhé! https://games.shopee.vn/universal-link/farm/share.html?skey=8b79179b26f4fe2f97266c8ed6efe439&schannel=copyInfo",[HN] Hộp 10 gói x 20g NESCAFE Cà Phê Sô Cô La
i*****2,5,"Khi nhìn thấy hàng thì mình rất bất ngờ😩,hộp ngoài thì móp méo mó
Hộp cà phê thì bị xé rách và mở sẵn rồi 10g cf cũng bị nhàu nát hết trơn
shop nói đổi trả nhưng thôi mất có 6k ship từ game nông trại,mong shop lần sau chú ý hơn trong khâu đóng gói",[HN] Hộp 10 gói x 20g NESCAFE Cà Phê Sô Cô La
dieungoc,5,"Cà phê thành quả của tưới cây nè, cf socola rất thơm , lại ngậy vị socola, uống lạ mà hay hay í, Nes phiên bản nào cũng ngon",[HN] Hộp 10 gói x 20g NESCAFE Cà Phê Sô Cô La
lala.haze,5,Thành quả cây cà phê. Thơm béo ngon ngọt. Đóng gói rất chắc chắn,[HN] Hộp 10 gói x 20g NESCAFE Cà Phê Sô Cô La
ngoc_huyen9393,5,Thành quả của việc trồng cây chăm chỉ. Cảm ơn shopee nhiều lắm. Đóng gói cẩm thận chắc chắn mà giao hàng cũng nhanh nữa,[HN] Hộp 10 gói x 20g NESCAFE Cà Phê Sô Cô La
khiconlonton92,5,Được thu hoạch rất nhiều cà phê từ nông trại vui vẻ. Game hay lại được quà. Cà phê ngon uống siêu thích,[HN] Hộp 10 gói x 20g NESCAFE Cà Phê Sô Cô La
c*****2,5,Giao hàng siêu nhanh. Mới đặt lúc 21h hôm qua mà sáng nay đã giao. Thành quả trồng cây shopeee,[HN] Hộp 10 gói x 20g NESCAFE Cà Phê Sô Cô La
mailoan.ko,5,Thu hoạch nông trại nên mua. Mình thích uống cf đậm đặc nên uống món này bị ngọt quá,[HN] Hộp 10 gói x 20g NESCAFE Cà Phê Sô Cô La
icyheart3108,5,Chưa thử không biết uống ngon không nữa. Nhưng shop đóng gói và giao nhanh lắm ạ,[HN] Hộp 10 gói x 20g NESCAFE Cà Phê Sô Cô La
vantdieuhuong,5,"Shop giao hàng nhanh chóng và chính xác đóng gói cẩn thận, sản phẩm như hình ạ",[HN] Hộp 10 gói x 20g NESCAFE Cà Phê Sô Cô La
vn3830_20902,5,Đóng gói cẩn thận và chắc chắn. Chất lượng sản phẩm tuyệt vời. Shop giao hàng nhanh,[HN] Hộp 10 gói x 20g NESCAFE Cà Phê Sô Cô La
